T,D,L,Ly,G,Gy,Gz,A,Ay,Az,M,My,Mz,P,R,H,
88283,793,,,-1.94,-10.19,-10.17,0.09,0.08,0.99,0.28,0.02,-0.6,4.79,-5.11,-335.79,*7A
88340,793,,,3.24,-16.79,-1.9,0.11,0.05,0.95,0.27,0.02,-0.6,2.84,-6.46,-334.2,*7A
88397,793,,,2.09,-11.2,-2.14,0.06,,0.95,0.26,0.02,-0.59,3.72,-3.72,-334.37,*7A
88527,793,,,-0.45,-7.98,1.31,0.07,0.03,0.96,0.26,0.02,-0.59,1.61,-4.31,-332.94,*7A
88611,793,GPGGA,190704,-2.06,-3.02,1.78,0.03,0.06,0.98,0.25,0.02,-0.6,3.56,-1.91,-334.58,*7A
88670,793,GPGGA,190704,-0.16,-2.69,-1.66,0.05,0.07,0.94,0.25,0.02,-0.59,4.5,-3.06,-332.32,*7A
88726,793,,,-3.03,-0.07,0.1,0.05,0.07,0.97,0.25,0.02,-0.59,3.96,-3.11,-332.73,*7A
88783,793,,,-3.66,-8.34,-0.12,0.06,0.03,0.99,0.25,0.02,-0.6,1.76,-3.5,-334,*7A
88840,793,,,-4.55,2.3,-0.65,0.03,0.08,0.98,0.25,0.01,-0.6,4.39,-1.94,-336.69,*7A
88897,793,,,-0.79,-5.59,-0.65,0.07,0.05,0.95,0.25,0.01,-0.6,3.22,-4.34,-336.57,*7A
88953,793,,,-1.43,-7.67,0.18,0.04,0.07,0.96,0.24,0.02,-0.59,4.3,-2.64,-334.47,*7A
89011,793,,,0.48,-6.14,3.54,0.06,0.06,0.96,0.23,0.02,-0.58,3.35,-3.55,-334.28,*7A
89068,793,,,1.94,-16.07,3.66,0.02,0.03,0.93,0.23,0.02,-0.58,2.14,-1.38,-331.57,*7A
89124,793,,,1.32,-13.36,1.29,-0.02,0.08,0.9,0.22,0.03,-0.57,5.04,1.09,-327.69,*7A
